FB Tab,Fields,,,,FB Page Fields
Overview,School,,,,FIND US
Overview,Current City,,,,1 ring road market
Overview,Hometown,,,,New Delhi
Overview,Relationship,,,,Get Directions
Overview,Phone No.,,,,Testing Page
Overview,Website,,,,Send Message
Overview,Date of Birth,,,,Call 099991 10108
Work and Education,Workplace,,,,GENERAL
Work and Education,Professional Skills,,,,Category
Work and Education,College,,,,Musician
Work and Education,High School,,,,Edit
Places You've Lived,Current City,,,,Name
Places You've Lived,Hometown,,,,Testing Page
Places You've Lived,Other Places,,,,Edit
Contact and Basic Info,Mobile Phones,,,,Username
Contact and Basic Info,Email,,,,Create Page @username
Contact and Basic Info,Address,,,,PAGE INFO
Contact and Basic Info,Public Key,,,,Edit Start date
Contact and Basic Info,Website,,,,Edit business types
Contact and Basic Info,"Social Links  (Instagram, Twitter, Snapchat, YouTube, Twitch, LINE, WeChat, Kik, Pinterest, Tumblr, Ask.fm, SoundCloud, Spotify, LinkedIn, Skype, QQ, KakaoTalk, VK, OK, BBM, GitHub)",,,,INTERESTS
Contact and Basic Info,Birth Date,,,,Artists We Also Like
Contact and Basic Info,Birth Year,,,,Band Interests
Contact and Basic Info,Gender,,,,Personal Interests
Contact and Basic Info,Who You're interested in,,,,
Contact and Basic Info,Language,,,,ADDITIONAL CONTACT INFO
Contact and Basic Info,Religious Views,,,,Email
Contact and Basic Info,Political Views,,,,Website
Family and Relationship,Relationship Status,,,,"Social Links  (Instagram, Twitter, Snapchat, YouTube, Twitch, LINE, WeChat, Kik, Pinterest, Tumblr, Ask.fm, SoundCloud, Spotify, LinkedIn, Skype, QQ, KakaoTalk, VK, OK, BBM, GitHub)"
Family and Relationship,Family Member,,,,MORE INFO
Details About You,About You,,,,Genre
Details About You,Other Names,,,,Band Members
Details About You,Favorite Quotes,,,,Hometown
Details About You,Blood Donations,,,,Record Label
Life Events,Life Events,,,,Affiliation
,,,,,About
,,,,,Impressum
,,,,,Biography
,,,,,Awards
,,,,,Gender
,,,,,Personal Information
,,,,,Current Location
,,,,,General Manager
,,,,,Influences
,,,,,Press contact
,,,,,Booking agent
,,,,,card
,,,,,Add Menu
,,,,,Privacy policy
,,,,,Categories
